epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.107,1.43533,1.93899,1.44852,0.58414,0.42598,0.44797,0.22745,1.47767,2.42149,1.83788,0.000549205,0.000549205,0.000549205
2,421.306,1.39554,1.39609,1.40511,0.59662,0.5573,0.53853,0.24698,1.77695,2.34281,1.99981,0.00105018,0.00105018,0.00105018
3,686.36,1.4594,1.33856,1.43985,0.65896,0.63529,0.64968,0.35274,1.49098,1.64394,1.58504,0.00149615,0.00149615,0.00149615
4,1005.25,1.43414,1.28174,1.40429,0.7465,0.63543,0.71639,0.36835,1.5988,1.37807,1.66077,0.00141945,0.00141945,0.00141945
5,4463.57,1.3722,1.23105,1.3622,0.76449,0.71725,0.76543,0.43545,1.38196,1.19921,1.48377,0.00133693,0.00133693,0.00133693
6,4501.97,1.3424,1.15685,1.34008,0.84966,0.65988,0.76604,0.44332,1.38692,1.2212,1.49849,0.00125442,0.00125442,0.00125442
7,4539.53,1.27118,1.0784,1.31067,0.83633,0.73894,0.84004,0.5102,1.27954,0.91219,1.36423,0.0011719,0.0011719,0.0011719
8,4576.9,1.23935,0.99054,1.27904,0.86679,0.83963,0.88984,0.54607,1.23782,0.8343,1.34078,0.00108938,0.00108938,0.00108938
9,4622.05,1.21806,0.97746,1.28717,0.79771,0.77428,0.85227,0.50299,1.32008,0.89054,1.4041,0.00100687,0.00100687,0.00100687
10,4683.68,1.19899,0.93091,1.24798,0.85474,0.7882,0.86003,0.55138,1.20096,0.80902,1.32431,0.000924352,0.000924352,0.000924352
11,4719.26,1.12779,0.83269,1.24687,0.88713,0.79204,0.8998,0.57328,1.17796,0.79374,1.31111,0.000841835,0.000841835,0.000841835
12,5029.88,1.08828,0.7807,1.22271,0.86011,0.8203,0.86399,0.542,1.2037,0.80236,1.35305,0.000759318,0.000759318,0.000759318
12,367.802,1.07918,0.76011,1.20902,0.91793,0.80429,0.91614,0.60068,1.14099,0.72847,1.30093,0.000759318,0.000759318,0.000759318
13,5129.49,1.06715,0.75142,1.21204,0.8513,0.84352,0.90291,0.58929,1.14488,0.73488,1.26683,0.000676802,0.000676802,0.000676802
13,496.614,1.06209,0.72466,1.20232,0.86995,0.84519,0.91299,0.59704,1.15007,0.73004,1.30323,0.000676802,0.000676802,0.000676802
14,5255.05,1.04609,0.69299,1.1904,0.9257,0.81857,0.91738,0.60669,1.13127,0.66351,1.25944,0.000594286,0.000594286,0.000594286
14,594.908,1.03162,0.69558,1.18283,0.88826,0.85328,0.91326,0.61362,1.06066,0.66468,1.22359,0.000594286,0.000594286,0.000594286
15,5359.5,1.01147,0.67109,1.17715,0.8867,0.87369,0.92832,0.61646,1.0935,0.63723,1.24801,0.000511769,0.000511769,0.000511769
15,689.626,0.99452,0.65469,1.14693,0.89615,0.85706,0.93062,0.6257,1.06665,0.63552,1.2104,0.000511769,0.000511769,0.000511769
16,5449.48,0.96214,0.61933,1.13917,0.84517,0.85523,0.90509,0.59998,1.05978,0.66432,1.21908,0.000429253,0.000429253,0.000429253
16,781.812,0.97012,0.61615,1.14595,0.89519,0.83863,0.91662,0.61534,1.06157,0.66428,1.21754,0.000429253,0.000429253,0.000429253
17,5541.66,0.95156,0.58556,1.13333,0.90305,0.85456,0.93208,0.63569,1.05527,0.6027,1.2213,0.000346736,0.000346736,0.000346736
17,889.99,0.94438,0.58748,1.12076,0.90109,0.84772,0.92655,0.62767,1.04637,0.61546,1.20887,0.000346736,0.000346736,0.000346736
18,5655.82,0.91005,0.55544,1.11182,0.92807,0.86026,0.9411,0.65648,1.02602,0.5704,1.20222,0.00026422,0.00026422,0.00026422
18,993.752,0.92126,0.5595,1.10274,0.89306,0.88947,0.93803,0.65021,1.0041,0.55344,1.17812,0.00026422,0.00026422,0.00026422
19,5757.87,0.86158,0.50683,1.08365,0.92014,0.84107,0.93331,0.63809,1.01804,0.5639,1.19235,0.000181703,0.000181703,0.000181703
19,1124.93,0.86637,0.51736,1.07739,0.92448,0.87066,0.94032,0.65436,1.0065,0.5594,1.19,0.000181703,0.000181703,0.000181703
20,5899.15,0.85136,0.49457,1.0747,0.92333,0.84442,0.93692,0.65203,1.01387,0.54574,1.18993,9.91865e-05,9.91865e-05,9.91865e-05
20,1195.05,0.8557,0.50555,1.06823,0.94159,0.85211,0.94395,0.66069,0.98522,0.52598,1.17095,9.91865e-05,9.91865e-05,9.91865e-05
